nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,20129.53125,1,0,0,0,9,21.454,FF,0,0,292232,21.225,16855.75
0,20129.42188,1,0,0,0,9,5.219,FF,0,0,73436,5.155,16881.29688
0,20129.26563,1,0,0,0,9,75.005,FF,0,1,1000000,74.285,16859.45313
0,20129.71875,1,0,0,0,9,11.873,FF,0,0,168190,11.733,16855.65625
0,20129.54688,1,0,0,0,9,6.612,FF,0,0,92112,6.533,16881.35938
0,20129.64063,1,0,0,0,9,27.21,FF,0,0,375007,26.916,16859.57813
0,20129.46875,1,0,0,0,9,73.613,FF,0,0,994145,72.863,16859.375
0,20129.8125,1,0,0,0,9,58.164,FF,0,0,768040,57.579,16859.71875
0,20129.48438,1,0,0,0,9,13.283,FF,0,0,180068,13.132,16859.39063
0,20129.5,1,0,0,0,9,3.759,FF,0,0,51789,3.71,16881.34375
0,20129.59375,1,0,0,0,9,73.25,FF,0,1,1000000,72.524,16859.78125
0,20129.375,1,0,0,0,9,10.336,FF,0,0,146043,10.216,16859.59375
0,20129.4375,1,0,0,0,9,75.681,FF,0,1,1000000,74.911,16859.59375
0,20129.5625,1,0,0,0,9,8.543,FF,0,0,116641,8.441,16859.78125
0,20129.57813,1,0,0,0,9,12.841,FF,0,0,174011,12.701,16859.70313
0,20129.51563,1,0,0,0,9,9.977,FF,0,0,134218,9.864,16859.71875
0,20129.34375,1,0,0,0,9,14.93,FF,0,0,204518,14.769,16863.5625
0,20129.92188,1,0,0,0,9,17.787,FF,0,0,242862,17.596,16861.45313
0,20129.67188,1,0,0,0,9,9.91,FF,0,0,139216,9.793,16881.26563
0,20129.51563,1,0,0,0,9,73.005,FF,0,1,1000000,72.251,16859.70313
0,20129.35938,1,0,0,0,9,72.571,FF,0,2,1000000,71.871,16859.54688
0,20129.26563,1,0,0,0,9,6.519,FF,0,0,91020,6.442,16881.07813
0,20129.57813,1,0,0,0,9,41.001,FF,0,0,576068,40.566,16859.73438
0,20129.92188,1,0,0,0,9,21.123,FF,0,0,288401,20.897,16863.95313
0,20129.45313,1,0,0,0,9,10.145,FF,0,0,136287,10.033,16859.64063
0,20129.51563,1,0,0,0,9,11.021,FF,0,0,156735,10.891,16859.70313
0,20129.125,1,0,0,0,9,77.389,FF,0,1,1000000,76.67,16859.34375
0,20129.78125,1,0,0,0,9,73.074,FF,0,1,1000000,72.334,16859.8125
0,20129.51563,1,0,0,0,9,11.999,FF,0,0,172105,11.856,16859.79688
0,20129.32813,1,0,0,0,9,30.551,FF,0,0,416231,30.239,16859.48438
0,20129.42188,1,0,0,0,9,72.191,FF,0,1,1000000,71.48,16859.60938
0,20129.8125,1,0,0,0,9,72.516,FF,0,3,1000000,71.791,16859.96875
0,20129.34375,1,0,0,0,9,79.584,FF,0,1,1000000,78.77,16855.59375
0,20129.35938,1,0,0,0,9,77.853,FF,0,2,1000000,77.071,16859.57813
0,20129.85938,1,0,0,0,9,44.847,FF,0,0,618175,44.399,16859.79688
0,20129.45313,1,0,0,0,9,48.523,FF,0,0,659314,48.039,16859.57813
0,20129.42188,1,0,0,0,9,10.366,FF,0,0,142393,10.248,16863.64063
0,20129.3125,1,0,0,0,9,9.624,FF,0,0,136086,9.51,16881.21875
0,20129.42188,1,0,0,0,9,6.375,FF,0,0,90303,6.297,16881.23438
0,20129.48438,1,0,0,0,9,34.458,FF,0,0,480388,34.097,16859.70313
0,20129.17188,1,0,0,0,9,73.8,FF,0,4,1000000,73.101,16859.35938
0,20129.64063,1,0,0,0,9,73.546,FF,0,1,1000000,72.831,16859.64063
0,20129.54688,1,0,0,0,9,10.568,FF,0,0,148293,10.444,16859.45313
0,20129.53125,1,0,0,0,9,74.268,FF,0,1,1000000,73.536,16859.71875
0,20129.57813,1,0,0,0,9,9.247,FF,0,0,128560,9.145,16859.54688
0,20129.85938,1,0,0,0,9,72.625,FF,0,2,1000000,71.908,16863.79688
0,20129.76563,1,0,0,0,9,6.741,FF,0,0,96541,6.659,16859.98438
0,20129.4375,1,0,0,0,9,45.189,FF,0,0,618240,44.741,16859.59375
0,20129.26563,1,0,0,0,9,74.084,FF,0,2,1000000,73.358,16859.48438
0,20129.70313,1,0,0,0,9,34.252,FF,0,0,466078,33.905,16859.57813
