nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,14229.82813,1,0,0,0,6,1.187,FF,0,0,15827,1.17,12080.01563
0,14229.98438,1,0,0,0,6,13.753,FF,0,0,190319,13.601,12058.28125
0,14229.79688,1,0,0,0,6,3.981,FF,0,0,54635,3.934,12079.98438
0,14229.875,1,0,0,0,6,3.659,FF,0,0,50325,3.615,12080.09375
0,14229.90625,1,0,0,0,6,0.909,FF,0,0,11431,0.894,12080.0625
0,14230.23438,1,0,0,0,6,3.863,FF,0,0,51892,3.815,12080.14063
0,14229.51563,1,0,0,0,6,1.467,FF,0,0,18379,1.446,12079.76563
0,14230.0625,1,0,0,0,6,7.515,FF,0,0,103119,7.43,12080.21875
0,14229.70313,1,0,0,0,6,1.323,FF,0,0,16502,1.304,12079.98438
0,14229.92188,1,0,0,0,6,0.403,FF,0,0,4013,0.394,12079.79688
0,14230.15625,1,0,0,0,6,2.958,FF,0,0,39888,2.922,12080.0625
0,14230,1,0,0,0,6,1.126,FF,0,0,14212,1.11,12080
0,14230.45313,1,0,0,0,6,1.608,FF,0,0,21102,1.586,12080.40625
0,14230.07813,1,0,0,0,6,1.149,FF,0,0,14921,1.131,12080
0,14229.8125,1,0,0,0,6,2.47,FF,0,0,34425,2.439,12080
0,14229.65625,1,0,0,0,6,0.724,FF,0,0,8700,0.712,12079.78125
0,14229.85938,1,0,0,0,6,5.609,FF,0,0,79478,5.545,12080.03125
0,14230,1,0,0,0,6,1.476,FF,0,0,19324,1.456,12080.25
0,14230.59375,1,0,0,0,6,1.653,FF,0,0,22099,1.63,12080.48438
0,14229.85938,1,0,0,0,6,3.734,FF,0,0,49239,3.688,12080.04688
0,14230.1875,1,0,0,0,6,3.41,FF,0,0,48709,3.368,12080.0625
0,14229.96875,1,0,0,0,6,3.203,FF,0,0,45781,3.162,12079.875
0,14229.75,1,0,0,0,6,1.592,FF,0,0,21879,1.57,12079.90625
0,14230.10938,1,0,0,0,6,0.402,FF,0,0,4152,0.392,12080.26563
0,14230.03125,1,0,0,0,6,3.003,FF,0,0,42192,2.965,12079.9375
0,14230.0625,1,0,0,0,6,2.459,FF,0,0,32699,2.429,12079.96875
0,14229.70313,1,0,0,0,6,1.503,FF,0,0,20130,1.482,12079.79688
0,14230.10938,1,0,0,0,6,2.35,FF,0,0,32561,2.317,12080.23438
0,14230.29688,1,0,0,0,6,4.015,FF,0,0,55112,3.966,12080.23438
0,14229.90625,1,0,0,0,6,0.527,FF,0,0,6032,0.517,12080.0625
0,14230.03125,1,0,0,0,6,1.074,FF,0,0,14131,1.058,12079.90625
0,14230.20313,1,0,0,0,6,1.241,FF,0,0,16416,1.222,12080.04688
0,14230.15625,1,0,0,0,6,1.123,FF,0,0,14754,1.105,12080.0625
0,14229.84375,1,0,0,0,6,1.415,FF,0,0,18090,1.396,12079.96875
0,14229.82813,1,0,0,0,6,0.482,FF,0,0,4751,0.471,12079.98438
0,14229.90625,1,0,0,0,6,1.121,FF,0,0,14189,1.104,12079.85938
0,14229.67188,1,0,0,0,6,0.676,FF,0,0,8079,0.665,12079.84375
0,14229.79688,1,0,0,0,6,1.265,FF,0,0,16557,1.247,12079.98438
0,14229.625,1,0,0,0,6,5.964,FF,0,0,82665,5.893,12079.71875
0,14229.9375,1,0,0,0,6,2.415,FF,0,0,33512,2.385,12080.09375
0,14230.15625,1,0,0,0,6,6.745,FF,0,0,95213,6.667,12080.03125
0,14229.90625,1,0,0,0,6,4.58,FF,0,0,60944,4.528,12080.03125
0,14230.15625,1,0,0,0,6,13.471,FF,0,0,187405,13.325,12058.48438
0,14229.71875,1,0,0,0,6,3.161,FF,0,0,43909,3.121,12079.85938
0,14229.8125,1,0,0,0,6,0.712,FF,0,0,8850,0.699,12079.9375
0,14230.09375,1,0,0,0,6,2.268,FF,0,0,30451,2.239,12079.9375
0,14229.9375,1,0,0,0,6,3.025,FF,0,0,42173,2.988,12079.8125
0,14229.78125,1,0,0,0,6,4.519,FF,0,0,61646,4.466,12079.9375
0,14230.125,1,0,0,0,6,10.327,FF,0,0,147388,10.208,12058.40625
0,14229.67188,1,0,0,0,6,1.939,FF,0,0,26205,1.913,12079.96875
,,,,,,,,,,,,,
,,,,,,,,,,,41128.1,2.9738,
