nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused,
0,20129.35938,1,0,0,0,9,18.669,FF,0,0,258058,18.464,16859.59375,0
0,20129.85938,1,0,0,0,9,19.452,FF,0,0,272524,19.232,16859.82813,0
0,20129.78125,1,0,0,0,9,72.61,FF,0,1,1000000,71.899,16859.71875,1
0,20129.14063,1,0,0,0,9,14.147,FF,0,0,202200,13.986,16859.32813,0
0,20129.375,1,0,0,0,9,18.687,FF,0,0,260088,18.479,16859.5625,0
0,20129.39063,1,0,0,0,9,24.709,FF,0,0,336080,24.441,16859.57813,0
0,20129.76563,1,0,0,0,9,20.415,FF,0,0,286046,20.194,16859.92188,0
0,20129.39063,1,0,0,0,9,43.289,FF,0,0,604016,42.857,16859.57813,0
0,20129.45313,1,0,0,0,9,71.929,FF,0,1,1000000,71.213,16859.67188,1
0,20129.60938,1,0,0,0,9,32.544,FF,0,0,455104,32.21,16859.79688,0
0,20129.85938,1,0,0,0,9,11.915,FF,0,0,172063,11.775,16859.75,0
0,20129.64063,1,0,0,0,9,15.892,FF,0,0,224660,15.718,16859.82813,0
0,20129.51563,1,0,0,0,9,71.712,FF,0,2,1000000,70.984,16859.76563,1
0,20129.42188,1,0,0,0,9,73.741,FF,0,1,1000000,72.991,16859.39063,1
0,20129.78125,1,0,0,0,9,70.693,FF,0,1,1000000,69.971,16860,1
0,20129.57813,1,0,0,0,9,11.662,FF,0,0,160038,11.528,16859.79688,0
0,20129.5,1,0,0,0,9,14.042,FF,0,0,202153,13.877,16859.75,0
0,20129.79688,1,0,0,0,9,72.026,FF,0,1,1000000,71.295,16859.73438,1
0,20129.54688,1,0,0,0,9,29.614,FF,0,0,420117,29.294,16859.70313,0
0,20129.67188,1,0,0,0,9,30.077,FF,0,0,426417,29.766,16859.89063,0
0,20129.375,1,0,0,0,9,10.07,FF,0,0,142279,9.949,16859.53125,0
0,20129.64063,1,0,0,0,9,35.668,FF,0,0,494186,35.3,16859.85938,0
0,20129.625,1,0,0,0,9,26.649,FF,0,0,380081,26.368,16859.71875,0
0,20129.5,1,0,0,0,9,34.371,FF,0,0,464031,34.002,16859.75,0
0,20129.4375,1,0,0,0,9,37.681,FF,0,0,434443,37.353,16859.65625,0
0,20129.46875,1,0,0,0,9,11.024,FF,0,0,156573,10.899,16859.71875,0
0,20129.57813,1,0,0,0,9,47.728,FF,0,0,638083,47.254,16859.54688,0
0,20129.39063,1,0,0,0,9,10.961,FF,0,0,157372,10.829,16859.64063,0
0,20129.45313,1,0,0,0,9,37.95,FF,0,0,536307,37.548,16859.71875,0
0,20129.45313,1,0,0,0,9,16.624,FF,0,0,234361,16.446,16859.67188,0
0,20129.76563,1,0,0,0,9,23.254,FF,0,0,306383,22.999,16859.70313,0
0,20129.85938,1,0,0,0,9,6.533,FF,0,0,86657,6.452,16881.67188,0
0,20129.5,1,0,0,0,9,21.84,FF,0,0,298409,21.602,16859.71875,0
0,20129.70313,1,0,0,0,9,27.732,FF,0,0,380093,27.439,16859.89063,0
0,20129.375,1,0,0,0,9,38.417,FF,0,0,524234,38.024,16859.5625,0
0,20129.70313,1,0,0,0,9,26.907,FF,0,0,368439,26.621,16859.76563,0
0,20129.35938,1,0,0,0,9,9.051,FF,0,0,124182,8.938,16859.57813,0
0,20129.5625,1,0,0,0,9,20.314,FF,0,0,268200,20.093,16859.78125,0
0,20129.67188,1,0,0,0,9,13.858,FF,0,0,190243,13.705,16859.60938,0
0,20129.54688,1,0,0,0,9,24.026,FF,0,0,328396,23.758,16859.48438,0
0,20129.6875,1,0,0,0,9,9.767,FF,0,0,138115,9.651,16859.625,0
0,20129.59375,1,0,0,0,9,9.674,FF,0,0,136403,9.564,16881.1875,0
0,20129.51563,1,0,0,0,9,31.138,FF,0,0,430301,30.814,16859.42188,0
0,20129.57813,1,0,0,0,9,53.839,FF,0,0,742363,53.308,16859.82813,0
0,20129.17188,1,0,0,0,9,24.59,FF,0,0,346420,24.328,16859.32813,0
0,20129.57813,1,0,0,0,9,14.369,FF,0,0,206042,14.203,16859.70313,0
0,20129.32813,1,0,0,0,9,9.227,FF,0,0,134398,9.115,16881.14063,0
0,20129.32813,1,0,0,0,9,39.933,FF,0,0,556270,39.512,16855.51563,0
0,20129.17188,1,0,0,0,9,13.167,FF,0,0,190716,13.014,16859.32813,0
0,20129.35938,1,0,0,0,9,7.986,FF,0,0,114940,7.89,16881.17188,0
