nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,20129.26563,1,0,0,0,9,15.195,FF,0,0,218175,15.015,16863.48438
0,20129.3125,1,0,0,0,9,32.375,FF,0,0,462142,32.021,16867.53125
0,20129.625,1,0,0,0,9,44.838,FF,0,0,632192,44.376,16859.90625
0,20129.60938,1,0,0,0,9,9.826,FF,0,0,140684,9.714,16881.48438
0,20129.48438,1,0,0,0,9,50.241,FF,0,0,710883,49.725,16859.70313
0,20129.67188,1,0,0,0,9,12.666,FF,0,0,178132,12.52,16859.79688
0,20129.51563,1,0,0,0,9,29.616,FF,0,0,398678,29.293,16859.78125
0,20129.42188,1,0,0,0,9,14.731,FF,0,0,196207,14.556,16855.60938
0,20129.70313,1,0,0,0,9,14.561,FF,0,0,194770,14.404,16859.65625
0,20129.45313,1,0,0,0,9,20.628,FF,0,0,284757,20.404,16859.64063
0,20129.32813,1,0,0,0,9,14.82,FF,0,0,208205,14.649,16859.625
0,20129.45313,1,0,0,0,9,23.869,FF,0,0,310327,23.612,16859.67188
0,20129.51563,1,0,0,0,9,26.511,FF,0,0,352119,26.224,16859.70313
0,20129.20313,1,0,0,0,9,12.382,FF,0,0,164191,12.24,16859.35938
0,20129.29688,1,0,0,0,9,20.071,FF,0,0,266414,19.84,16859.42188
0,20129.25,1,0,0,0,9,14.874,FF,0,0,202141,14.709,16859.46875
0,20129.26563,1,0,0,0,9,47.49,FF,0,0,638195,47.005,16861
0,20129.48438,1,0,0,0,9,24.338,FF,0,0,322087,24.073,16859.67188
0,20129.29688,1,0,0,0,9,9.572,FF,0,0,132263,9.454,16881.10938
0,20129.45313,1,0,0,0,9,15.438,FF,0,0,210046,15.271,16859.60938
0,20129.3125,1,0,0,0,9,27.698,FF,0,0,396311,27.38,16859.5
0,20129.53125,1,0,0,0,9,29.8,FF,0,0,412310,29.454,16859.8125
0,20129.42188,1,0,0,0,9,73.822,FF,0,1,1000000,73.082,16859.57813
0,20129.32813,1,0,0,0,9,2433.051,FF,0,0,158334,11.135,16859.54688
0,20129.67188,1,0,0,0,9,17.001,FF,0,0,100006,16.795,16859.64063
0,20129.45313,1,0,0,0,9,63.959,FF,0,0,206221,32.303,16859.73438
0,20129.35938,1,0,0,0,9,45.229,FF,0,0,176156,41.442,16859.48438
0,20129.60938,1,0,0,0,9,19.676,FF,0,0,272941,19.447,16859.60938
0,20129.29688,1,0,0,0,9,12.742,FF,0,0,178173,12.593,16859.46875
0,20129.4375,1,0,0,0,9,30.951,FF,0,0,444114,30.617,16859.59375
0,20129.42188,1,0,0,0,9,74.696,FF,0,2,1000000,73.939,16860.29688
0,20129.375,1,0,0,0,9,63.683,FF,0,0,832168,63.047,16863.5625
0,20129.32813,1,0,0,0,9,46.338,FF,0,0,648465,45.848,16859.48438
0,20129.42188,1,0,0,0,9,24.547,FF,0,0,348203,24.284,16859.64063
0,20129.65625,1,0,0,0,9,23.565,FF,0,0,326130,23.31,16859.59375
0,20129.48438,1,0,0,0,9,44.338,FF,0,0,622323,43.868,16859.42188
0,20129.92188,1,0,0,0,9,29.771,FF,0,0,414180,29.457,16863.85938
0,20129.67188,1,0,0,0,9,24.659,FF,0,0,344031,24.4,16859.57813
0,20129.39063,1,0,0,0,9,55.256,FF,0,0,752077,54.685,16859.64063
0,20130.10938,1,0,0,0,9,60.359,FF,0,0,834420,59.724,16860.04688
0,20129.5,1,0,0,0,9,30.81,FF,0,0,435310,30.479,16867.70313
0,20129.60938,1,0,0,0,9,31.102,FF,0,0,438850,30.765,16859.85938
0,20129.5625,1,0,0,0,9,6.369,FF,0,0,87139,6.292,16881.40625
0,20129.375,1,0,0,0,9,27.125,FF,0,0,386402,26.817,16859.625
0,20129.45313,1,0,0,0,9,20.254,FF,0,0,288053,20.027,16859.73438
0,20129.45313,1,0,0,0,9,10.421,FF,0,0,144601,10.3,16859.76563
0,20129.48438,1,0,0,0,9,33.865,FF,0,0,468277,33.507,16859.67188
0,20129.17188,1,0,0,0,9,60.408,FF,0,0,814128,59.811,16859.23438
0,20129.32813,1,0,0,0,9,27.391,FF,0,0,378668,27.094,16859.42188
0,20129.48438,1,0,0,0,9,7.384,FF,0,0,106325,7.289,16881.32813
,,,,,,,,,,,,,
,,,,,,,,,,94,384738.48,28.76592,
