nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,14230.34375,1,0,0,0,6,1.262,FF,0,0,16877,1.243,12080.25
0,14229.73438,1,0,0,0,6,0.45,FF,0,0,5007,0.439,12079.92188
0,14230.07813,1,0,0,0,6,0.808,FF,0,0,9886,0.794,12080.04688
0,14230.3125,1,0,0,0,6,3.23,FF,0,0,44383,3.192,12080.1875
0,14229.8125,1,0,0,0,6,1.666,FF,0,0,22019,1.642,12080
0,14229.8125,1,0,0,0,6,1.295,FF,0,0,16803,1.274,12079.9375
0,14230.03125,1,0,0,0,6,2.048,FF,0,0,28395,2.02,12080.1875
0,14230.01563,1,0,0,0,6,1.526,FF,0,0,20512,1.505,12080.1875
0,14230.125,1,0,0,0,6,1.429,FF,0,0,19149,1.409,12080.03125
0,14229.70313,1,0,0,0,6,3.374,FF,0,0,46290,3.332,12079.89063
0,14229.90625,1,0,0,0,6,0.874,FF,0,0,11322,0.86,12079.84375
0,14230.04688,1,0,0,0,6,2.187,FF,0,0,30329,2.158,12079.96875
0,14229.84375,1,0,0,0,6,2.492,FF,0,0,34571,2.461,12079.79688
0,14230.1875,1,0,0,0,6,1.122,FF,0,0,14492,1.104,12080.07813
0,14229.875,1,0,0,0,6,2.55,FF,0,0,36050,2.518,12080.125
0,14230.10938,1,0,0,0,6,4.649,FF,0,0,66125,4.593,12080.29688
0,14230.0625,1,0,0,0,6,5.813,FF,0,0,83358,5.745,12079.98438
0,14229.82813,1,0,0,0,6,0.518,FF,0,0,5785,0.507,12079.96875
0,14229.8125,1,0,0,0,6,1.789,FF,0,0,24262,1.766,12080.01563
0,14230.04688,1,0,0,0,6,3.865,FF,0,0,54754,3.818,12079.95313
0,14229.73438,1,0,0,0,6,2.976,FF,0,0,42617,2.938,12079.92188
0,14230.0625,1,0,0,0,6,2.116,FF,0,0,29457,2.088,12080.28125
0,14229.71875,1,0,0,0,6,4.108,FF,0,0,58887,4.057,12079.84375
0,14230.09375,1,0,0,0,6,0.988,FF,0,0,12098,0.972,12079.96875
0,14230.10938,1,0,0,0,6,1.305,FF,0,0,17112,1.286,12080.01563
0,14230.26563,1,0,0,0,6,2.383,FF,0,0,32324,2.351,12080.20313
0,14230.375,1,0,0,0,6,6.862,FF,0,0,98346,6.78,12080.34375
0,14229.875,1,0,0,0,6,1.981,FF,0,0,27439,1.955,12079.96875
0,14229.9375,1,0,0,0,6,2.564,FF,0,0,34125,2.533,12080.17188
0,14229.875,1,0,0,0,6,4.731,FF,0,0,68086,4.673,12079.78125
0,14229.60938,1,0,0,0,6,1.752,FF,0,0,24016,1.727,12079.78125
0,14230.25,1,0,0,0,6,0.534,FF,0,0,6072,0.522,12080.20313
0,14230.07813,1,0,0,0,6,1.643,FF,0,0,22023,1.619,12080.21875
0,14229.71875,1,0,0,0,6,1.077,FF,0,0,14469,1.059,12079.875
0,14230.09375,1,0,0,0,6,0.361,FF,0,0,3648,0.353,12079.9375
0,14230.32813,1,0,0,0,6,3.753,FF,0,0,53306,3.707,12080.23438
0,14229.92188,1,0,0,0,6,1.29,FF,0,0,17331,1.27,12079.76563
0,14229.71875,1,0,0,0,6,1.521,FF,0,0,20007,1.499,12079.8125
0,14229.96875,1,0,0,0,6,2.384,FF,0,0,32625,2.353,12080.14063
0,14230.20313,1,0,0,0,6,3.691,FF,0,0,52130,3.646,12080.125
0,14230.15625,1,0,0,0,6,2.419,FF,0,0,33571,2.387,12080.29688
0,14230,1,0,0,0,6,1.097,FF,0,0,14418,1.08,12080.125
0,14230.17188,1,0,0,0,6,2.957,FF,0,0,41713,2.92,12080.0625
0,14229.76563,1,0,0,0,6,2.085,FF,0,0,27959,2.059,12079.90625
0,14229.85938,1,0,0,0,6,5.847,FF,0,0,82038,5.78,12080
0,14229.82813,1,0,0,0,6,3.375,FF,0,0,48047,3.335,12079.73438
0,14230.28125,1,0,0,0,6,4.934,FF,0,0,69247,4.877,12080.25
0,14230.01563,1,0,0,0,6,2.29,FF,0,0,29830,2.259,12080.17188
0,14230.0625,1,0,0,0,6,1.325,FF,0,0,16917,1.305,12080.25
0,14229.8125,1,0,0,0,6,0.946,FF,0,0,12027,0.932,12080
,,,,,,,,,,,,,
,,,,,,,,,,,32645.08,2.33404,
