nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.71875,1,0,0,0,7,15.838,FF,0,0,214174,15.662,13663.07813
0,16025.57813,1,0,0,0,7,17.421,FF,0,0,235137,17.233,13663
0,16025.76563,1,0,0,0,7,23.457,FF,0,0,327555,23.208,13662.90625
0,16025.82813,1,0,0,0,7,10.583,FF,0,0,145352,10.461,13662.875
0,16025.51563,1,0,0,0,7,15.465,FF,0,0,216537,15.295,13662.90625
0,16025.9375,1,0,0,0,7,73.752,FF,0,1,1000000,73.04,13663.07813
0,16025.67188,1,0,0,0,7,8.77,FF,0,0,120003,8.661,13684.75
0,16025.70313,1,0,0,0,7,75.075,FF,0,1,1000000,74.252,13663.03125
0,16025.82813,1,0,0,0,7,73.827,FF,0,1,1000000,73.081,13663.03125
0,16025.82813,1,0,0,0,7,25.879,FF,0,0,364073,25.606,13662.9375
0,16025.6875,1,0,0,0,7,7.137,FF,0,0,100311,7.053,13684.67188
0,16025.73438,1,0,0,0,7,31.416,FF,0,0,434269,31.084,13663.125
0,16025.6875,1,0,0,0,7,20.74,FF,0,0,289043,20.52,13663.04688
0,16026.17188,1,0,0,0,7,4.127,FF,0,0,57046,4.078,13684.90625
0,16025.76563,1,0,0,0,7,17.984,FF,0,0,248840,17.781,13662.9375
0,16025.79688,1,0,0,0,7,12.484,FF,0,0,169042,12.351,13663.1875
0,16025.76563,1,0,0,0,7,10.328,FF,0,0,143258,10.213,13663.125
0,16025.79688,1,0,0,0,7,13.827,FF,0,0,192145,13.666,13663.25
0,16025.70313,1,0,0,0,7,21.031,FF,0,0,291157,20.794,13663.1875
0,16025.54688,1,0,0,0,7,71.441,FF,0,0,951069,70.738,13662.84375
0,16025.82813,1,0,0,0,7,16.546,FF,0,0,227010,16.367,13663.1875
0,16025.46875,1,0,0,0,7,18.359,FF,0,0,250503,18.141,13662.85938
0,16026.17188,1,0,0,0,7,27.324,FF,0,0,372262,27.036,13663.25
0,16025.73438,1,0,0,0,7,32.552,FF,0,0,441096,32.194,13663.15625
0,16026.10938,1,0,0,0,7,9.766,FF,0,0,134340,9.627,13684.90625
0,16025.71875,1,0,0,0,7,38.49,FF,0,0,529086,38.088,13664.32813
0,16025.6875,1,0,0,0,7,20.848,FF,0,0,282130,20.629,13663.04688
0,16025.89063,1,0,0,0,7,32.612,FF,0,0,430165,32.235,13663.28125
0,16025.95313,1,0,0,0,7,9.802,FF,0,0,132158,9.687,13684.96875
0,16025.70313,1,0,0,0,7,46.218,FF,0,0,638119,45.744,13663.15625
0,16025.5,1,0,0,0,7,8.358,FF,0,0,117160,8.26,13684.51563
0,16025.82813,1,0,0,0,7,25.23,FF,0,0,354768,24.964,13662.875
0,16025.82813,1,0,0,0,7,40.364,FF,0,0,559289,39.947,13663.21875
0,16025.53125,1,0,0,0,7,11.951,FF,0,0,164433,11.813,13662.95313
0,16025.53125,1,0,0,0,7,73.563,FF,0,1,1000000,72.841,13662.98438
0,16026.125,1,0,0,0,7,12.297,FF,0,0,175114,12.147,13663.26563
0,16025.64063,1,0,0,0,7,74.749,FF,0,1,1000000,74.02,13663.09375
0,16025.9375,1,0,0,0,7,9.077,FF,0,0,122005,8.971,13684.95313
0,16025.73438,1,0,0,0,7,73.123,FF,0,1,1000000,72.388,13663.09375
0,16025.70313,1,0,0,0,7,3.163,FF,0,0,44093,3.124,13684.6875
0,16025.6875,1,0,0,0,7,72.121,FF,0,1,1000000,71.386,13667.10938
0,16025.79688,1,0,0,0,7,14.621,FF,0,0,210029,14.454,13663.1875
0,16025.92188,1,0,0,0,7,26.373,FF,0,0,362037,26.1,13662.96875
0,16025.8125,1,0,0,0,7,26.962,FF,0,0,370038,26.662,13663.17188
0,16026.03125,1,0,0,0,7,4.517,FF,0,0,64322,4.456,13685.04688
0,16026.07813,1,0,0,0,7,8.009,FF,0,0,111040,7.915,13684.90625
0,16025.5,1,0,0,0,7,51.535,FF,0,0,705162,50.966,13662.8125
0,16026.09375,1,0,0,0,7,37.645,FF,0,0,512049,37.263,13663.23438
0,16025.70313,1,0,0,0,7,47.098,FF,0,0,647264,46.585,13663.14063
0,16025.59375,1,0,0,0,7,33.013,FF,0,0,450069,32.651,13662.98438
,,,,,,,,,,,,,
,,,,,,,,,,86,,28.82876,
