nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.625,1,0,0,0,7,64.752,FF,0,1,1000000,64.039,13663.01563
0,16025.875,1,0,0,0,7,46.663,FF,0,0,733355,46.111,13663.20313
0,16026.01563,1,0,0,0,7,17.97,FF,0,0,274928,17.754,13663.40625
0,16025.78125,1,0,0,0,7,64.292,FF,0,1,1000000,63.573,13663.17188
0,16025.98438,1,0,0,0,7,64.517,FF,0,1,1000000,63.764,13663.34375
0,16025.75,1,0,0,0,7,57.32,FF,0,0,876344,56.657,13667.17188
0,16025.75,1,0,0,0,7,62.079,FF,0,0,967199,61.364,13663.10938
0,16026.01563,1,0,0,0,7,39.823,FF,0,0,639815,39.348,13663.125
0,16025.875,1,0,0,0,7,63.894,FF,0,1,1000000,63.15,13663.20313
0,16025.60938,1,0,0,0,7,63.459,FF,0,1,1000000,62.704,13663
0,16026.0625,1,0,0,0,7,64.11,FF,0,1,1000000,63.397,13663.14063
0,16025.98438,1,0,0,0,7,61.068,FF,0,0,965502,60.366,13663.375
0,16026,1,0,0,0,7,24.259,FF,0,0,380866,23.956,13663.17188
0,16025.70313,1,0,0,0,7,63.783,FF,0,1,1000000,63.038,13663.09375
0,16025.71875,1,0,0,0,7,38.169,FF,0,0,597295,37.733,13663.10938
0,16025.8125,1,0,0,0,7,63.731,FF,0,1,1000000,63.016,13663.17188
0,16025.84375,1,0,0,0,7,63.144,FF,0,1,1000000,62.385,13663.20313
0,16025.82813,1,0,0,0,7,11.509,FF,0,0,170804,11.37,13663.1875
0,16025.75,1,0,0,0,7,66.004,FF,0,1,1000000,65.248,13667.07813
0,16026.09375,1,0,0,0,7,65.605,FF,0,1,1000000,64.869,13663.45313
0,16025.59375,1,0,0,0,7,62.193,FF,0,0,960892,61.474,13662.98438
0,16025.60938,1,0,0,0,7,65.773,FF,0,1,1000000,65.026,13662.96875
0,16025.5,1,0,0,0,7,55.403,FF,0,0,857984,54.779,13662.89063
0,16025.875,1,0,0,0,7,35.724,FF,0,0,542849,35.286,13663.26563
0,16025.8125,1,0,0,0,7,45.634,FF,0,0,699549,45.106,13663.17188
0,16025.85938,1,0,0,0,7,45.068,FF,0,0,682060,44.532,13663.1875
0,16025.95313,1,0,0,0,7,63.963,FF,0,1,1000000,63.223,13663.28125
0,16025.6875,1,0,0,0,7,64.043,FF,0,1,1000000,63.301,13667.07813
0,16025.75,1,0,0,0,7,63.29,FF,0,1,1000000,62.556,13663.20313
0,16025.90625,1,0,0,0,7,64.754,FF,0,1,1000000,63.998,13667.35938
0,16026,1,0,0,0,7,30.42,FF,0,0,469714,30.063,13663.39063
0,16025.875,1,0,0,0,7,63.072,FF,0,1,1000000,62.329,13663.3125
0,16026.0625,1,0,0,0,7,37.143,FF,0,0,590052,36.692,13663.10938
0,16025.78125,1,0,0,0,7,53.105,FF,0,0,835233,52.47,13663.26563
0,16026.03125,1,0,0,0,7,46.384,FF,0,0,738583,45.84,13667.42188
0,16025.90625,1,0,0,0,7,63.855,FF,0,1,1000000,63.096,13663.375
0,16026,1,0,0,0,7,48.123,FF,0,0,753621,47.567,13663.42188
0,16025.8125,1,0,0,0,7,36.905,FF,0,0,580649,36.472,13663.20313
0,16025.75,1,0,0,0,7,40.922,FF,0,0,636017,40.427,13662.98438
0,16025.79688,1,0,0,0,7,63.991,FF,0,1,1000000,63.254,13663.15625
0,16025.78125,1,0,0,0,7,69.287,FF,0,1,1000000,68.469,13663.14063
0,16025.76563,1,0,0,0,7,51.585,FF,0,0,743398,50.994,13663.1875
0,16025.78125,1,0,0,0,7,59.511,FF,0,0,887739,58.795,13667.10938
0,16025.96875,1,0,0,0,7,47.094,FF,0,0,737374,46.533,13663.35938
0,16025.95313,1,0,0,0,7,3.303,FF,0,0,49588,3.257,13684.9375
0,16026.1875,1,0,0,0,7,10.15,FF,0,0,156795,10.02,13663.32813
0,16025.59375,1,0,0,0,7,64.984,FF,0,1,1000000,64.209,13662.98438
0,16026.03125,1,0,0,0,7,65.473,FF,0,1,1000000,64.736,13667.17188
0,16025.59375,1,0,0,0,7,55.352,FF,0,0,863830,54.698,13662.98438
0,16025.6875,1,0,0,0,7,18.933,FF,0,0,290316,18.703,13663.125
,,,,,,,,,,,,,
,,,,,,,,,,56,,,
