nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.67188,1,0,0,0,7,23.848,FF,0,0,328224,23.6,13663.125
0,16025.85938,1,0,0,0,7,28.372,FF,0,0,372182,28.079,13663.1875
0,16025.51563,1,0,0,0,7,29.809,FF,0,0,398194,29.497,13662.90625
0,16025.54688,1,0,0,0,7,76.91,FF,0,1,1000000,76.158,13667
0,16025.67188,1,0,0,0,7,9.841,FF,0,0,132097,9.73,13684.71875
0,16025.57813,1,0,0,0,7,76.043,FF,0,1,1000000,75.286,13662.875
0,16025.85938,1,0,0,0,7,3.793,FF,0,0,52297,3.744,13684.84375
0,16025.64063,1,0,0,0,7,77.422,FF,0,1,1000000,76.714,13663
0,16025.71875,1,0,0,0,7,12.462,FF,0,0,170006,12.323,13663.14063
0,16025.65625,1,0,0,0,7,75.321,FF,0,1,1000000,74.569,13662.95313
0,16025.85938,1,0,0,0,7,50.448,FF,0,0,682086,49.939,13663.28125
0,16025.70313,1,0,0,0,7,76.011,FF,0,1,1000000,75.255,13663.0625
0,16025.45313,1,0,0,0,7,83.28,FF,0,1,1000000,82.488,13666.84375
0,16025.89063,1,0,0,0,7,78.288,FF,0,2,1000000,77.543,13663.21875
0,16025.76563,1,0,0,0,7,19.729,FF,0,0,268047,19.518,13667.14063
0,16025.875,1,0,0,0,7,76.488,FF,0,1,1000000,75.765,13663.35938
0,16025.67188,1,0,0,0,7,76.698,FF,0,1,1000000,75.95,13663.125
0,16025.60938,1,0,0,0,7,14.118,FF,0,0,190156,13.958,13666.96875
0,16025.76563,1,0,0,0,7,76.566,FF,0,1,1000000,75.736,13663.09375
0,16026.17188,1,0,0,0,7,76.033,FF,0,2,1000000,75.289,13663.40625
0,16025.79688,1,0,0,0,7,4.939,FF,0,0,66022,4.88,13684.8125
0,16025.79688,1,0,0,0,7,13.928,FF,0,0,184014,13.777,13663.1875
0,16025.82813,1,0,0,0,7,76.975,FF,0,2,1000000,76.24,13662.96875
0,16025.85938,1,0,0,0,7,76.853,FF,0,1,1000000,76.104,13663.21875
0,16025.64063,1,0,0,0,7,5.287,FF,0,0,72101,5.226,13684.625
0,16025.67188,1,0,0,0,7,75.123,FF,0,1,1000000,74.422,13663.03125
0,16025.79688,1,0,0,0,7,18.573,FF,0,0,256190,18.379,13663.15625
0,16026.23438,1,0,0,0,7,73.13,FF,0,1,1000000,72.364,13663.28125
0,16025.78125,1,0,0,0,7,6.081,FF,0,0,84050,6.011,13684.76563
0,16025.57813,1,0,0,0,7,9.415,FF,0,0,130052,9.307,13684.59375
0,16025.92188,1,0,0,0,7,13.014,FF,0,0,180514,12.871,13667.34375
0,16025.57813,1,0,0,0,7,4.363,FF,0,0,60029,4.31,13684.5625
0,16025.39063,1,0,0,0,7,4.255,FF,0,0,58200,4.204,13684.40625
0,16025.42188,1,0,0,0,7,73.907,FF,0,1,1000000,73.201,13662.84375
0,16025.90625,1,0,0,0,7,12.531,FF,0,0,170023,12.394,13663.25
0,16025.82813,1,0,0,0,7,1866.659,FF,0,1,1000000,75.776,13660.03125
0,16025.71875,1,0,0,0,7,4.062,FF,0,0,50021,4.012,13684.76563
0,16025.70313,1,0,0,0,7,3.953,FF,0,0,52023,3.904,13684.6875
0,16025.9375,1,0,0,0,7,3837.156,FF,0,1,1000000,328.106,13663.3125
0,16025.75,1,0,0,0,7,4576.88,FF,0,1,1000000,258.75,13647.20313
0,16025.73438,1,0,0,0,7,41.907,FF,0,0,124296,41.432,13663.125
0,16025.64063,1,0,0,0,7,32.541,FF,0,0,96185,32.173,13663.09375
0,16026.0625,1,0,0,0,7,64.586,FF,0,0,192139,63.891,13667.17188
0,16025.67188,1,0,0,0,7,3616.731,FF,0,0,76613,22.056,13663.14063
0,16025.45313,1,0,0,0,7,3880.572,FF,0,1,1000000,281.599,13654.92188
0,16025.73438,1,0,0,0,7,3923.087,FF,0,1,1000000,322.351,13655.10938
0,16025.76563,1,0,0,0,7,46.138,FF,0,0,134118,45.125,13662.9375
0,16025.70313,1,0,0,0,7,65.728,FF,0,0,194027,64.711,13663.0625
0,16025.54688,1,0,0,0,7,3942.875,FF,0,1,1000000,341.616,13662.98438
0,16025.54688,1,0,0,0,7,7461.187,FF,0,1,1000000,266.751,13651
,,,,,,,,,,,,,
,,,,,,,,,,48,,,
