nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused,,
0,20129.29688,1,0,0,0,9,7.071,FF,0,0,95273,6.991,16881.15625,,0
0,20129.35938,1,0,0,0,9,61.239,FF,0,0,857465,60.642,16859.54688,,0
0,20129.21875,1,0,0,0,9,71.109,FF,0,1,1000000,70.39,16859.40625,,1
0,20129.26563,1,0,0,0,9,72.191,FF,0,1,1000000,71.49,16859.48438,,1
0,20129.39063,1,0,0,0,9,71.664,FF,0,1,1000000,70.968,16859.57813,,1
0,20129.46875,1,0,0,0,9,61.138,FF,0,0,855039,60.511,16859.625,,0
0,20129.42188,1,0,0,0,9,71.319,FF,0,1,1000000,70.617,16861.10938,,1
0,20129.5,1,0,0,0,9,10.955,FF,0,0,157766,10.829,16859.40625,,0
0,20129.375,1,0,0,0,9,71.927,FF,0,1,1000000,71.162,16859.5,,1
0,20129.51563,1,0,0,0,9,1.424,FF,0,0,17692,1.402,16881.35938,,0
0,20129,1,0,0,0,9,47.792,FF,0,0,675015,47.287,16863.125,,0
0,20129.51563,1,0,0,0,9,72.309,FF,0,1,1000000,71.581,16859.64063,,1
0,20129.46875,1,0,0,0,9,72.914,FF,0,1,1000000,72.185,16863.78125,,1
0,20129.67188,1,0,0,0,9,15.684,FF,0,0,217046,15.507,16859.5625,,0
0,20129.51563,1,0,0,0,9,57.129,FF,0,0,777081,56.556,16863.73438,,0
0,20129.45313,1,0,0,0,9,75.344,FF,0,1,1000000,74.466,16859.67188,,1
0,20129.10938,1,0,0,0,9,83.392,FF,0,1,1000000,82.369,16859.26563,,1
0,20129.45313,1,0,0,0,9,80.159,FF,0,1,1000000,79.121,16859.4375,,1
0,20129.32813,1,0,0,0,9,80.167,FF,0,1,1000000,79.185,16859.54688,,1
0,20129.23438,1,0,0,0,9,72.258,FF,0,1,1000000,71.521,16859.42188,,1
0,20129.51563,1,0,0,0,9,72.393,FF,0,1,1000000,71.661,16859.73438,,1
0,20129.4375,1,0,0,0,9,56.101,FF,0,0,764074,55.539,16859.625,,0
0,20129.26563,1,0,0,0,9,40.829,FF,0,0,575034,40.397,16855.48438,,0
0,20129.35938,1,0,0,0,9,68.808,FF,0,0,964390,68.115,16859.60938,,0
0,20129.48438,1,0,0,0,9,72.015,FF,0,1,1000000,71.299,16859.67188,,1
0,20129.375,1,0,0,0,9,55.714,FF,0,0,770437,55.141,16859.5625,,0
0,20129.29688,1,0,0,0,9,12.589,FF,0,0,174229,12.442,16859.42188,,0
0,20129.42188,1,0,0,0,9,35.919,FF,0,0,492062,35.527,16859.57813,,0
0,20129.85938,1,0,0,0,9,72.962,FF,0,1,1000000,72.196,16863.73438,,1
0,20129.4375,1,0,0,0,9,21.293,FF,0,0,289629,21.055,16859.65625,,0
0,20129.35938,1,0,0,0,9,35.078,FF,0,0,489496,34.72,16859.35938,,0
0,20130.0625,1,0,0,0,9,34.974,FF,0,0,489360,34.611,16860,,0
0,20129.39063,1,0,0,0,9,10.606,FF,0,0,140156,10.482,16859.54688,,0
0,20129.54688,1,0,0,0,9,73.572,FF,0,1,1000000,72.743,16859.73438,,1
0,20129.20313,1,0,0,0,9,72.224,FF,0,1,1000000,71.473,16859.39063,,1
0,20129.125,1,0,0,0,9,31.313,FF,0,0,448173,30.977,16863.40625,,0
0,20129.89063,1,0,0,0,9,72.211,FF,0,1,1000000,71.474,16859.82813,,1
0,20129.76563,1,0,0,0,9,56.631,FF,0,0,790014,56.058,16859.79688,,0
0,20129.48438,1,0,0,0,9,71.691,FF,0,1,1000000,70.941,16859.71875,,1
0,20129.35938,1,0,0,0,9,73.727,FF,0,1,1000000,72.955,16859.51563,,1
0,20129.28125,1,0,0,0,9,71.671,FF,0,1,1000000,70.957,16859.5,,1
0,20129.57813,1,0,0,0,9,80.963,FF,0,2,1000000,80.216,16859.79688,,1
0,20129.21875,1,0,0,0,9,73.283,FF,0,2,1000000,72.551,16859.375,,1
0,20129.23438,1,0,0,0,9,72.944,FF,0,1,1000000,72.226,16859.42188,,1
0,20129.5625,1,0,0,0,9,72.459,FF,0,1,1000000,71.733,16863.78125,,1
0,20129.54688,1,0,0,0,9,20.642,FF,0,0,290005,20.421,16859.76563,,0
0,20129.54688,1,0,0,0,9,54.205,FF,0,0,764341,53.647,16861.17188,,0
0,20129.25,1,0,0,0,9,34.399,FF,0,0,485498,34.04,16859.5,,0
0,20129.4375,1,0,0,0,9,72.077,FF,0,1,1000000,71.339,16859.625,,1
0,20129.73438,1,0,0,0,9,58.849,FF,0,0,794040,58.252,16859.64063,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,17692,1.402,,,48
,,,,,,,,,,,1000000,82.369,,,
,,,,,,,,,,,767466.3,55.59936,,,
,,,,,,,,,,,313300.1896,23.15838502,,,
