nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.46875,1,0,0,0,7,48.421,FF,0,0,737188,47.853,13666.85938
0,16025.9375,1,0,0,0,7,54.578,FF,0,0,835009,53.91,13663.03125
0,16025.60938,1,0,0,0,7,28.523,FF,0,0,435008,28.192,13662.96875
0,16025.84375,1,0,0,0,7,16.512,FF,0,0,250105,16.316,13663.20313
0,16025.78125,1,0,0,0,7,65.513,FF,0,1,1000000,64.753,13667.125
0,16025.5,1,0,0,0,7,66.509,FF,0,1,1000000,65.771,13662.89063
0,16025.5,1,0,0,0,7,65.522,FF,0,1,1000000,64.791,13662.89063
0,16025.75,1,0,0,0,7,25.987,FF,0,0,395276,25.692,13663.10938
0,16025.54688,1,0,0,0,7,10.147,FF,0,0,150029,10.016,13662.875
0,16025.71875,1,0,0,0,7,65.707,FF,0,1,1000000,64.94,13663.10938
0,16026.09375,1,0,0,0,7,66.743,FF,0,1,1000000,65.987,13663.17188
0,16025.78125,1,0,0,0,7,66.467,FF,0,1,1000000,65.705,13662.82813
0,16025.9375,1,0,0,0,7,65.9,FF,0,1,1000000,65.105,13663.07813
0,16025.95313,1,0,0,0,7,65.758,FF,0,1,1000000,65.01,13667.40625
0,16025.78125,1,0,0,0,7,56.341,FF,0,0,850209,55.682,13663.20313
0,16026.21875,1,0,0,0,7,30.53,FF,0,0,454213,30.186,13663.35938
0,16025.76563,1,0,0,0,7,57.234,FF,0,0,870405,56.524,13663.1875
0,16025.75,1,0,0,0,7,50.875,FF,0,0,764039,50.277,13663.14063
0,16025.82813,1,0,0,0,7,17.012,FF,0,0,255013,16.811,13662.90625
0,16025.78125,1,0,0,0,7,22.643,FF,0,0,350010,22.367,13663.20313
0,16025.82813,1,0,0,0,7,29.261,FF,0,0,450234,28.903,13667.15625
0,16025.71875,1,0,0,0,7,66.843,FF,0,1,1000000,66.014,13663.10938
0,16025.5625,1,0,0,0,7,66.909,FF,0,1,1000000,66.117,13663
0,16025.60938,1,0,0,0,7,66.6,FF,0,1,1000000,65.84,13663.0625
0,16025.75,1,0,0,0,7,23.404,FF,0,0,367072,23.12,13667.17188
0,16025.8125,1,0,0,0,7,58.303,FF,0,0,924030,57.638,13663
0,16026.07813,1,0,0,0,7,56.043,FF,0,0,869115,55.393,13663.25
0,16025.9375,1,0,0,0,7,63.482,FF,0,0,980049,62.768,13663.14063
0,16025.73438,1,0,0,0,7,64.781,FF,0,1,1000000,64.032,13663.03125
0,16025.59375,1,0,0,0,7,28.79,FF,0,0,457025,28.438,13662.95313
0,16025.59375,1,0,0,0,7,64.859,FF,0,1,1000000,64.05,13663.07813
0,16025.5625,1,0,0,0,7,31.724,FF,0,0,490008,31.346,13662.92188
0,16026.03125,1,0,0,0,7,37.089,FF,0,0,577043,36.645,13663.07813
0,16025.67188,1,0,0,0,7,28.715,FF,0,0,440006,28.392,13663.09375
0,16025.78125,1,0,0,0,7,21.315,FF,0,0,327033,21.064,13663.10938
0,16025.48438,1,0,0,0,7,64.472,FF,0,1,1000000,63.74,13662.85938
0,16025.875,1,0,0,0,7,50.591,FF,0,0,784028,50.025,13663.07813
0,16025.95313,1,0,0,0,7,49.735,FF,0,0,755005,49.138,13663.25
0,16025.54688,1,0,0,0,7,65.576,FF,0,1,1000000,64.777,13662.9375
0,16025.59375,1,0,0,0,7,36.808,FF,0,0,557059,36.373,13662.98438
0,16026.17188,1,0,0,0,7,44.796,FF,0,0,677189,44.304,13663.375
0,16025.67188,1,0,0,0,7,50.487,FF,0,0,774304,49.907,13663.09375
0,16025.9375,1,0,0,0,7,8.813,FF,0,0,130117,8.699,13684.67188
0,16025.70313,1,0,0,0,7,56.952,FF,0,0,867403,56.312,13662.75
0,16025.76563,1,0,0,0,7,64.325,FF,0,0,970028,63.621,13663.20313
0,16025.71875,1,0,0,0,7,18.721,FF,0,0,279082,18.508,13667.20313
0,16025.46875,1,0,0,0,7,42.038,FF,0,0,629085,41.555,13662.82813
0,16025.70313,1,0,0,0,7,65.797,FF,0,1,1000000,65.025,13663.125
0,16025.9375,1,0,0,0,7,65.77,FF,0,1,1000000,65.046,13663.29688
0,16025.53125,1,0,0,0,7,65.975,FF,0,1,1000000,65.227,13662.82813
,,,,,,,,,,,,,
,,,,,,,,,,64,130117,8.699,
,,,,,,,,,,,1000000,66.117,
,,,,,,,,,,,733028.38,47.5581,
,,,,,,,,,,,285338.9439,18.56998504,
