nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused,
0,16025.92188,1,0,0,0,7,71.798,FF,0,1,1000000,71.072,13663.28125,1
0,16025.57813,1,0,0,0,7,47.056,FF,0,0,656459,46.571,13662.9375,0
0,16025.78125,1,0,0,0,7,70.549,FF,0,3,1000000,69.816,13671.14063,1
0,16025.76563,1,0,0,0,7,52.951,FF,0,0,745111,52.394,13662.84375,0
0,16025.89063,1,0,0,0,7,74.63,FF,0,1,1000000,73.831,13663.34375,1
0,16025.71875,1,0,0,0,7,72.044,FF,0,2,1000000,71.281,13663.10938,1
0,16025.82813,1,0,0,0,7,70.708,FF,0,1,1000000,69.936,13663.21875,1
0,16025.85938,1,0,0,0,7,71.021,FF,0,1,1000000,70.279,13662.96875,1
0,16025.57813,1,0,0,0,7,71.316,FF,0,1,1000000,70.562,13663,1
0,16025.82813,1,0,0,0,7,72.035,FF,0,1,1000000,71.287,13663.25,1
0,16025.54688,1,0,0,0,7,72.542,FF,0,2,1000000,71.734,13662.9375,1
0,16025.73438,1,0,0,0,7,70.482,FF,0,2,1000000,69.766,13667.03125,1
0,16025.67188,1,0,0,0,7,71.393,FF,0,1,1000000,70.644,13662.96875,1
0,16025.51563,1,0,0,0,7,55.447,FF,0,0,773719,54.891,13662.9375,0
0,16025.85938,1,0,0,0,7,70.754,FF,0,2,1000000,70.027,13663.21875,1
0,16025.82813,1,0,0,0,7,71.78,FF,0,1,1000000,71.037,13663.15625,1
0,16025.42188,1,0,0,0,7,61.666,FF,0,0,865525,61.018,13658.78125,0
0,16025.73438,1,0,0,0,7,71.601,FF,0,1,1000000,70.831,13663.03125,1
0,16026.01563,1,0,0,0,7,71.249,FF,0,2,1000000,70.515,13667.1875,1
0,16025.67188,1,0,0,0,7,72.216,FF,0,1,1000000,71.47,13667.125,1
0,16025.875,1,0,0,0,7,70.423,FF,0,2,1000000,69.645,13663.29688,1
0,16025.48438,1,0,0,0,7,71.502,FF,0,1,1000000,70.777,13662.90625,1
0,16025.60938,1,0,0,0,7,70.502,FF,0,2,1000000,69.73,13663,1
0,16025.60938,1,0,0,0,7,71.118,FF,0,1,1000000,70.367,13670.96875,1
0,16025.57813,1,0,0,0,7,48.315,FF,0,0,680274,47.813,13662.96875,0
0,16025.51563,1,0,0,0,7,71.883,FF,0,1,1000000,71.13,13662.875,1
0,16025.5625,1,0,0,0,7,71.381,FF,0,1,1000000,70.637,13662.92188,1
0,16025.54688,1,0,0,0,7,70.846,FF,0,1,1000000,70.13,13662.90625,1
0,16025.57813,1,0,0,0,7,72.328,FF,0,2,1000000,71.586,13663,1
0,16025.51563,1,0,0,0,7,59.187,FF,0,0,840822,58.569,13662.875,0
0,16025.73438,1,0,0,0,7,71.449,FF,0,1,1000000,70.709,13663.15625,1
0,16025.67188,1,0,0,0,7,71.091,FF,0,1,1000000,70.349,13663,1
0,16025.73438,1,0,0,0,7,69.8,FF,0,1,1000000,69.071,13663.09375,1
0,16025.92188,1,0,0,0,7,71.311,FF,0,2,1000000,70.556,13662.96875,1
0,16025.67188,1,0,0,0,7,69.931,FF,0,1,1000000,69.174,13662.71875,1
0,16025.70313,1,0,0,0,7,72.082,FF,0,1,1000000,71.32,13663.0625,1
0,16025.92188,1,0,0,0,7,71.242,FF,0,1,1000000,70.464,13662.96875,1
0,16025.65625,1,0,0,0,7,71.263,FF,0,1,1000000,70.483,13662.98438,1
0,16025.54688,1,0,0,0,7,70.773,FF,0,2,1000000,69.995,13662.90625,1
0,16025.51563,1,0,0,0,7,71.261,FF,0,2,1000000,70.534,13662.875,1
0,16025.67188,1,0,0,0,7,70.708,FF,0,2,1000000,69.961,13663.03125,1
0,16025.76563,1,0,0,0,7,71.954,FF,0,1,1000000,71.191,13663.09375,1
0,16025.75,1,0,0,0,7,58.999,FF,0,0,827078,58.346,13663.07813,0
0,16025.92188,1,0,0,0,7,71.489,FF,0,1,1000000,70.73,13663.03125,1
0,16025.67188,1,0,0,0,7,71.783,FF,0,1,1000000,71.019,13663,1
0,16025.78125,1,0,0,0,7,70.39,FF,0,2,1000000,69.626,13667.10938,1
0,16025.82813,1,0,0,0,7,16.139,FF,0,0,216045,15.962,13663.25,0
0,16026.07813,1,0,0,0,7,71.491,FF,0,1,1000000,70.764,13663.1875,1
0,16025.78125,1,0,0,0,7,11.692,FF,0,0,159528,11.562,13663.14063,0
0,16025.64063,1,0,0,0,7,71.906,FF,0,1,1000000,71.144,13663.03125,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,18
