nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.82813,1,0,0,0,7,66.024,FF,0,0,902066,65.413,13663.25
0,16025.46875,1,0,0,0,7,3.822,FF,0,0,54066,3.777,13684.45313
0,16025.79688,1,0,0,0,7,9.851,FF,0,0,146011,9.747,13684.78125
0,16025.76563,1,0,0,0,7,69.646,FF,0,1,1000000,68.991,13663.09375
0,16025.51563,1,0,0,0,7,69.635,FF,0,1,1000000,68.996,13662.96875
0,16025.45313,1,0,0,0,7,68.589,FF,0,1,1000000,67.946,13662.82813
0,16025.73438,1,0,0,0,7,12.795,FF,0,0,194075,12.654,13663.125
0,16025.90625,1,0,0,0,7,69.252,FF,0,1,1000000,68.601,13663.07813
0,16025.98438,1,0,0,0,7,3.576,FF,0,0,52032,3.536,13685
0,16025.75,1,0,0,0,7,69.331,FF,0,1,1000000,68.691,13663.04688
0,16025.54688,1,0,0,0,7,67.623,FF,0,1,1000000,66.985,13662.90625
0,16025.5,1,0,0,0,7,47.721,FF,0,0,712010,47.264,13662.79688
0,16025.82813,1,0,0,0,7,6.872,FF,0,0,102300,6.796,13684.5625
0,16025.85938,1,0,0,0,7,7.498,FF,0,0,116235,7.413,13684.8125
0,16025.57813,1,0,0,0,7,69.465,FF,0,1,1000000,68.823,13662.9375
0,16025.5,1,0,0,0,7,72.463,FF,0,1,1000000,71.787,13662.95313
0,16025.64063,1,0,0,0,7,73.052,FF,0,2,1000000,72.397,13663
0,16025.75,1,0,0,0,7,37.108,FF,0,0,544025,36.753,13663.10938
0,16025.59375,1,0,0,0,7,71.484,FF,0,1,1000000,70.772,13662.95313
0,16025.79688,1,0,0,0,7,70.408,FF,0,1,1000000,69.762,13663.125
0,16025.64063,1,0,0,0,7,70.443,FF,0,1,1000000,69.751,13662.90625
0,16025.71875,1,0,0,0,7,71.609,FF,0,1,1000000,70.946,13667.14063
0,16025.57813,1,0,0,0,7,70.886,FF,0,1,1000000,70.229,13662.96875
0,16025.60938,1,0,0,0,7,70.12,FF,0,1,1000000,69.469,13662.9375
0,16025.5,1,0,0,0,7,8.153,FF,0,0,120015,8.061,13684.51563
0,16025.8125,1,0,0,0,7,70.416,FF,0,1,1000000,69.76,13663.23438
0,16025.4375,1,0,0,0,7,35.884,FF,0,0,502282,35.544,13666.85938
0,16025.82813,1,0,0,0,7,5.661,FF,0,0,82008,5.6,13662.96875
0,16025.70313,1,0,0,0,7,71.722,FF,0,1,1000000,71.072,13663
0,16025.60938,1,0,0,0,7,9.777,FF,0,0,144037,9.672,13684.59375
0,16025.64063,1,0,0,0,7,66.999,FF,0,1,1000000,66.358,13662.96875
0,16025.59375,1,0,0,0,7,68.619,FF,0,1,1000000,67.985,13662.92188
0,16025.70313,1,0,0,0,7,68.963,FF,0,1,1000000,68.319,13663.09375
0,16025.78125,1,0,0,0,7,11.102,FF,0,0,164019,10.98,13659.10938
0,16025.92188,1,0,0,0,7,8.428,FF,0,0,126349,8.336,13663.375
0,16025.73438,1,0,0,0,7,70.738,FF,0,1,1000000,70.062,13663.125
0,16025.85938,1,0,0,0,7,68.81,FF,0,1,1000000,68.164,13659.25
0,16026.10938,1,0,0,0,7,6.758,FF,0,0,104061,6.683,13684.9375
0,16025.45313,1,0,0,0,7,7.965,FF,0,0,122126,7.874,13684.4375
0,16025.57813,1,0,0,0,7,11.806,FF,0,0,178077,11.681,13662.9375
0,16025.64063,1,0,0,0,7,68.584,FF,0,1,1000000,67.927,13663.03125
0,16025.76563,1,0,0,0,7,69.632,FF,0,1,1000000,68.987,13663.125
0,16026.0625,1,0,0,0,7,69.235,FF,0,1,1000000,68.587,13663.20313
0,16025.4375,1,0,0,0,7,2.947,FF,0,0,44283,2.911,13684.48438
0,16025.48438,1,0,0,0,7,2.559,FF,0,0,38146,2.527,13684.53125
0,16025.5625,1,0,0,0,7,6.638,FF,0,0,100093,6.563,13684.60938
0,16025.60938,1,0,0,0,7,8.742,FF,0,0,133506,8.644,13684.5625
0,16025.64063,1,0,0,0,7,3.086,FF,0,0,46132,3.048,13684.65625
0,16025.4375,1,0,0,0,7,70.802,FF,0,1,1000000,70.14,13658.875
0,16025.59375,1,0,0,0,7,69.364,FF,0,1,1000000,68.722,13662.92188
