nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,20129.20313,1,0,0,0,9,76.867,FF,0,2,1000000,76.091,16859.35938
0,20129.54688,1,0,0,0,9,75.308,FF,0,1,1000000,74.558,16859.79688
0,20129.21875,1,0,0,0,9,74.272,FF,0,1,1000000,73.517,16860
0,20129.01563,1,0,0,0,9,74.137,FF,0,1,1000000,73.374,16859.20313
0,20129.42188,1,0,0,0,9,71.706,FF,0,3,1000000,71.003,16859.60938
0,20129.15625,1,0,0,0,9,73.781,FF,0,3,1000000,73.077,16859.32813
0,20129.26563,1,0,0,0,9,69.296,FF,0,1,1000000,68.549,16863.51563
0,20129.39063,1,0,0,0,9,70.428,FF,0,2,1000000,69.71,16859.64063
0,20129.39063,1,0,0,0,9,70.981,FF,0,3,1000000,70.277,16861.09375
0,20129.39063,1,0,0,0,9,72.085,FF,0,1,1000000,71.361,16859.57813
0,20129.26563,1,0,0,0,9,71.577,FF,0,2,1000000,70.853,16859.45313
0,20129.67188,1,0,0,0,9,70.626,FF,0,1,1000000,69.861,16859.64063
0,20129.1875,1,0,0,0,9,71.989,FF,0,1,1000000,71.247,16859.40625
0,20129.57813,1,0,0,0,9,70.601,FF,0,1,1000000,69.871,16859.51563
0,20129.64063,1,0,0,0,9,73.545,FF,0,1,1000000,72.812,16859.57813
0,20129.4375,1,0,0,0,9,71.984,FF,0,1,1000000,71.274,16859.625
0,20129.79688,1,0,0,0,9,32.556,FF,0,0,455086,32.213,16859.64063
0,20129.82813,1,0,0,0,9,72.797,FF,0,2,1000000,72.032,16859.98438
0,20129.26563,1,0,0,0,9,46.185,FF,0,0,657070,45.709,16859.35938
0,20129.23438,1,0,0,0,9,72.857,FF,0,2,1000000,72.138,16859.39063
0,20129.25,1,0,0,0,9,69.184,FF,0,1,1000000,68.484,16855.5
0,20129.625,1,0,0,0,9,71.672,FF,0,1,1000000,70.967,16861.28125
0,20129.4375,1,0,0,0,9,69.427,FF,0,2,1000000,68.714,16859.625
0,20129.625,1,0,0,0,9,13.671,FF,0,0,197446,13.519,16859.53125
0,20129.51563,1,0,0,0,9,70.028,FF,0,2,1000000,69.332,16859.67188
0,20129.5625,1,0,0,0,9,27.715,FF,0,0,389235,27.422,16863.5
0,20129.67188,1,0,0,0,9,16.953,FF,0,0,244044,16.769,16861.32813
0,20129.25,1,0,0,0,9,70.593,FF,0,2,1000000,69.893,16859.40625
0,20129.17188,1,0,0,0,9,70.407,FF,0,1,1000000,69.705,16859.45313
0,20129.29688,1,0,0,0,9,69.367,FF,0,1,1000000,68.644,16859.54688
0,20129.48438,1,0,0,0,9,38.995,FF,0,0,559249,38.58,16859.67188
0,20129.54688,1,0,0,0,9,64.232,FF,0,0,897144,63.575,16863.70313
0,20129.46875,1,0,0,0,9,12.001,FF,0,0,167067,11.869,16859.625
0,20129.57813,1,0,0,0,9,73.929,FF,0,2,1000000,73.203,16859.79688
0,20129.75,1,0,0,0,9,70.748,FF,0,1,1000000,70.052,16859.75
0,20129.01563,1,0,0,0,9,71.942,FF,0,1,1000000,71.23,16860.73438
0,20129.51563,1,0,0,0,9,72.249,FF,0,1,1000000,71.557,16859.76563
0,20129.4375,1,0,0,0,9,70.837,FF,0,1,1000000,70.129,16859.46875
0,20129.39063,1,0,0,0,9,72.872,FF,0,2,1000000,72.154,16859.64063
0,20129.3125,1,0,0,0,9,72.247,FF,0,1,1000000,71.549,16859.5625
0,20129.375,1,0,0,0,9,27.808,FF,0,0,399044,27.506,16859.5625
0,20129.45313,1,0,0,0,9,71.548,FF,0,1,1000000,70.824,16859.76563
0,20129.89063,1,0,0,0,9,71.652,FF,0,1,1000000,70.94,16859.85938
0,20129.60938,1,0,0,0,9,75.253,FF,0,3,1000000,74.515,16859.79688
0,20129.26563,1,0,0,0,9,72.996,FF,0,2,1000000,72.272,16859.57813
0,20129.4375,1,0,0,0,9,34.472,FF,0,0,494995,34.115,16859.625
0,20129.82813,1,0,0,0,9,70.367,FF,0,1,1000000,69.673,16859.79688
0,20129.34375,1,0,0,0,9,20.703,FF,0,0,297117,20.482,16859.46875
0,20129.54688,1,0,0,0,9,72.146,FF,0,2,1000000,71.432,16859.51563
0,20129.42188,1,0,0,0,9,25.255,FF,0,0,357055,24.986,16859.64063
