nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,20129.32813,1,0,0,0,9,22.645,FF,0,0,291246,22.394,16859.48438
0,20129.39063,1,0,0,0,9,50.276,FF,0,0,634964,49.742,16859.57813
0,20129.32813,1,0,0,0,9,35.882,FF,0,0,464147,35.476,16859.54688
0,20129.3125,1,0,0,0,9,14.112,FF,0,0,182629,13.939,16859.46875
0,20129.53125,1,0,0,0,9,19.211,FF,0,0,244009,18.992,16859.71875
0,20129.26563,1,0,0,0,9,20.084,FF,0,0,262059,19.845,16859.45313
0,20129.65625,1,0,0,0,9,13.063,FF,0,0,176452,12.91,16859.875
0,20129.29688,1,0,0,0,9,22.108,FF,0,0,292620,21.858,16859.67188
0,20129.76563,1,0,0,0,9,38.364,FF,0,0,506414,37.955,16859.76563
0,20129.51563,1,0,0,0,9,18.74,FF,0,0,258194,18.528,16859.73438
0,20129.23438,1,0,0,0,9,8.229,FF,0,0,114238,8.13,16859.42188
0,20129.73438,1,0,0,0,9,15.819,FF,0,0,220053,15.641,16859.67188
0,20129.51563,1,0,0,0,9,23.871,FF,0,0,338705,23.609,16859.67188
0,20129.65625,1,0,0,0,9,22.956,FF,0,0,314046,22.704,16859.75
0,20129.3125,1,0,0,0,9,39.801,FF,0,0,550199,39.369,16859.46875
0,20129.64063,1,0,0,0,9,33.012,FF,0,0,469218,32.634,16859.57813
0,20129.5625,1,0,0,0,9,1.963,FF,0,0,25650,1.935,16881.25
0,20129.51563,1,0,0,0,9,10.353,FF,0,0,142206,10.229,16859.70313
0,20129.35938,1,0,0,0,9,24.839,FF,0,0,340528,24.556,16859.59375
0,20129.48438,1,0,0,0,9,8.764,FF,0,0,118760,8.658,16859.65625
0,20129.4375,1,0,0,0,9,73.276,FF,0,1,1000000,72.548,16859.625
0,20129.95313,1,0,0,0,9,12.268,FF,0,0,174116,12.121,16859.92188
0,20129.54688,1,0,0,0,9,11.356,FF,0,0,160153,11.221,16859.73438
0,20129.15625,1,0,0,0,9,12.813,FF,0,0,180755,12.664,16859.375
0,20129.32813,1,0,0,0,9,72.537,FF,0,1,1000000,71.819,16859.57813
0,20129.29688,1,0,0,0,9,18.091,FF,0,0,246053,17.893,16859.45313
0,20129.39063,1,0,0,0,9,38.289,FF,0,0,524311,37.892,16859.64063
0,20129.375,1,0,0,0,9,12.254,FF,0,0,172536,12.109,16859.53125
0,20129.35938,1,0,0,0,9,18.404,FF,0,0,252269,18.19,16859.54688
0,20129.42188,1,0,0,0,9,11.232,FF,0,0,154733,11.103,16859.60938
0,20129.76563,1,0,0,0,9,11.685,FF,0,0,164190,11.55,16863.64063
0,20129.375,1,0,0,0,9,7.667,FF,0,0,104391,7.572,16881.25
0,20129.42188,1,0,0,0,9,19.078,FF,0,0,268205,18.865,16859.64063
0,20129.59375,1,0,0,0,9,12.859,FF,0,0,178104,12.712,16861.34375
0,20129.10938,1,0,0,0,9,32.033,FF,0,0,440414,31.688,16859.29688
0,20129.45313,1,0,0,0,9,9.454,FF,0,0,132143,9.341,16881.26563
0,20129.59375,1,0,0,0,9,16.97,FF,0,0,238918,16.775,16859.5
0,20129.35938,1,0,0,0,9,72.101,FF,0,1,1000000,71.374,16859.59375
0,20129.21875,1,0,0,0,9,7.98,FF,0,0,115646,7.883,16881
0,20129.54688,1,0,0,0,9,32.677,FF,0,0,444032,32.337,16863.8125
0,20129.35938,1,0,0,0,9,42.46,FF,0,0,586288,42.022,16859.54688
0,20129.51563,1,0,0,0,9,35.076,FF,0,0,488147,34.705,16859.67188
0,20129.60938,1,0,0,0,9,4.259,FF,0,0,58594,4.206,16881.45313
0,20129.46875,1,0,0,0,9,16.398,FF,0,0,228361,16.223,16859.71875
0,20130.01563,1,0,0,0,9,22.217,FF,0,0,306263,21.982,16859.89063
0,20129.67188,1,0,0,0,9,13.616,FF,0,0,194091,13.462,16859.85938
0,20129.21875,1,0,0,0,9,45.099,FF,0,0,634351,44.614,16859.5
0,20129.51563,1,0,0,0,9,72.424,FF,0,1,1000000,71.695,16859.42188
0,20129.375,1,0,0,0,9,71.264,FF,0,1,1000000,70.524,16865.0625
0,20129.39063,1,0,0,0,9,8.432,FF,0,0,117884,8.331,16881.23438
,,,,,,,,,,,,,
,,,,,,,,,,90,350225.7,25.2905,
