nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.51563,1,0,0,0,7,76.265,FF,0,1,1000000,75.523,13662.9375
0,16025.76563,1,0,0,0,7,76.599,FF,0,1,1000000,75.847,13662.96875
0,16025.75,1,0,0,0,7,31.756,FF,0,0,428093,31.437,13663.10938
0,16025.76563,1,0,0,0,7,3.931,FF,0,0,52140,3.884,13684.78125
0,16025.51563,1,0,0,0,7,75.745,FF,0,1,1000000,75.019,13662.9375
0,16025.875,1,0,0,0,7,75.846,FF,0,1,1000000,75.084,13663.1875
0,16025.85938,1,0,0,0,7,5.967,FF,0,0,82331,5.891,13684.90625
0,16025.67188,1,0,0,0,7,76.478,FF,0,1,1000000,75.716,13663.0625
0,16025.8125,1,0,0,0,7,26.626,FF,0,0,328005,26.344,13667.20313
0,16025.76563,1,0,0,0,7,65.26,FF,0,0,812085,64.57,13663.0625
0,16025.60938,1,0,0,0,7,25.236,FF,0,0,318558,24.971,13662.96875
0,16025.76563,1,0,0,0,7,39.939,FF,0,0,500020,39.504,13667.1875
0,16025.73438,1,0,0,0,7,79.988,FF,0,1,1000000,79.165,13663.125
0,16025.98438,1,0,0,0,7,81.597,FF,0,1,1000000,80.732,13663.03125
0,16025.875,1,0,0,0,7,27.395,FF,0,0,340090,27.107,13663.29688
0,16025.92188,1,0,0,0,7,14.641,FF,0,0,186010,14.472,13663.34375
0,16026.01563,1,0,0,0,7,7.184,FF,0,0,92028,7.099,13684.75
0,16025.79688,1,0,0,0,7,37.074,FF,0,0,474005,36.686,13663.15625
0,16025.92188,1,0,0,0,7,18.138,FF,0,0,244029,17.941,13663.04688
0,16025.48438,1,0,0,0,7,4.373,FF,0,0,60016,4.317,13684.5
0,16025.73438,1,0,0,0,7,75.959,FF,0,1,1000000,75.213,13667.14063
0,16025.85938,1,0,0,0,7,8.114,FF,0,0,116021,8.016,13684.95313
0,16025.79688,1,0,0,0,7,70.45,FF,0,0,930034,69.775,13664.45313
0,16025.6875,1,0,0,0,7,10.218,FF,0,0,142019,10.093,13663.10938
0,16025.79688,1,0,0,0,7,75.85,FF,0,1,1000000,75.077,13663.15625
0,16025.82813,1,0,0,0,7,64.718,FF,0,0,856296,64.066,13663.125
0,16025.70313,1,0,0,0,7,16.388,FF,0,0,226051,16.212,13663
0,16025.46875,1,0,0,0,7,12.29,FF,0,0,170474,12.151,13662.73438
0,16025.82813,1,0,0,0,7,77.12,FF,0,1,1000000,76.38,13662.96875
0,16025.9375,1,0,0,0,7,6.479,FF,0,0,88153,6.399,13684.95313
0,16025.90625,1,0,0,0,7,19.359,FF,0,0,264010,19.141,13663.26563
0,16025.73438,1,0,0,0,7,76.238,FF,0,1,1000000,75.42,13663.09375
0,16025.95313,1,0,0,0,7,54.098,FF,0,0,698019,53.566,13663.09375
0,16025.98438,1,0,0,0,7,44.607,FF,0,0,594024,44.163,13663.3125
0,16025.82813,1,0,0,0,7,75.174,FF,0,0,982024,74.426,13663.25
0,16026.14063,1,0,0,0,7,76.398,FF,0,1,1000000,75.592,13663.21875
0,16025.60938,1,0,0,0,7,59.683,FF,0,0,794058,59.08,13666.95313
0,16025.92188,1,0,0,0,7,15.392,FF,0,0,216039,15.221,13663
0,16025.60938,1,0,0,0,7,8.546,FF,0,0,116556,8.448,13684.5625
0,16025.82813,1,0,0,0,7,3.568,FF,0,0,48174,3.522,13684.84375
0,16025.8125,1,0,0,0,7,74.883,FF,0,1,1000000,74.137,13662.98438
0,16026,1,0,0,0,7,8.126,FF,0,0,112050,8.025,13684.79688
0,16025.65625,1,0,0,0,7,77.6,FF,0,1,1000000,76.854,13662.95313
0,16025.85938,1,0,0,0,7,76.093,FF,0,1,1000000,75.266,13663.1875
0,16025.59375,1,0,0,0,7,76.359,FF,0,1,1000000,75.579,13662.96875
0,16025.65625,1,0,0,0,7,75.008,FF,0,1,1000000,74.222,13662.98438
0,16025.73438,1,0,0,0,7,41.918,FF,0,0,574118,41.49,13663.15625
0,16025.95313,1,0,0,0,7,19.781,FF,0,0,262190,19.567,13663.0625
0,16025.57813,1,0,0,0,7,22.337,FF,0,0,302053,22.1,13663
0,16025.73438,1,0,0,0,7,11.039,FF,0,0,150009,10.914,13663.15625
,,,,,,,,,,,,,
,,,,,,,,,,66,,,
