nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.60938,1,0,0,0,7,11.761,FF,0,0,164069,11.626,13662.96875
0,16026.09375,1,0,0,0,7,4.516,FF,0,0,62146,4.46,13685.14063
0,16025.90625,1,0,0,0,7,56.969,FF,0,0,750006,56.405,13663.23438
0,16025.85938,1,0,0,0,7,74.076,FF,0,1,1000000,73.283,13663.21875
0,16025.92188,1,0,0,0,7,10.237,FF,0,0,144052,10.124,13663.03125
0,16025.57813,1,0,0,0,7,13.061,FF,0,0,182099,12.908,13658.90625
0,16025.79688,1,0,0,0,7,8.529,FF,0,0,110006,8.431,13663.09375
0,16025.73438,1,0,0,0,7,51.591,FF,0,0,668223,51.073,13663.125
0,16025.73438,1,0,0,0,7,49.352,FF,0,0,660007,48.847,13663.0625
0,16025.79688,1,0,0,0,7,4.999,FF,0,0,68216,4.935,13684.84375
0,16025.98438,1,0,0,0,7,14.513,FF,0,0,200115,14.355,13663.09375
0,16025.8125,1,0,0,0,7,6.534,FF,0,0,88215,6.459,13684.79688
0,16025.70313,1,0,0,0,7,55.806,FF,0,0,752129,55.243,13663.15625
0,16025.60938,1,0,0,0,7,14.075,FF,0,0,194014,13.919,13667.04688
0,16025.71875,1,0,0,0,7,74.056,FF,0,1,1000000,73.334,13663.10938
0,16025.5625,1,0,0,0,7,3.624,FF,0,0,50003,3.576,13684.57813
0,16025.79688,1,0,0,0,7,3.633,FF,0,0,50009,3.586,13684.84375
0,16025.73438,1,0,0,0,7,8.145,FF,0,0,112055,8.048,13684.78125
0,16025.64063,1,0,0,0,7,5.142,FF,0,0,66008,5.08,13684.65625
0,16025.65625,1,0,0,0,7,74.16,FF,0,1,1000000,73.379,13663.04688
0,16025.76563,1,0,0,0,7,18.631,FF,0,0,252229,18.426,13663.125
0,16025.70313,1,0,0,0,7,11.447,FF,0,0,156022,11.321,13663.125
0,16025.70313,1,0,0,0,7,3.569,FF,0,0,48057,3.524,13684.75
0,16025.5,1,0,0,0,7,8.141,FF,0,0,114050,8.039,13684.60938
0,16025.64063,1,0,0,0,7,62.999,FF,0,0,856336,62.321,13662.96875
0,16025.45313,1,0,0,0,7,16.591,FF,0,0,228451,16.417,13662.8125
0,16026.20313,1,0,0,0,7,23.829,FF,0,0,328225,23.579,13663.3125
0,16025.95313,1,0,0,0,7,9.531,FF,0,0,132044,9.42,13684.75
0,16025.8125,1,0,0,0,7,48.836,FF,0,0,648415,48.353,13663.10938
0,16025.84375,1,0,0,0,7,7.816,FF,0,0,110014,7.719,13684.67188
0,16025.6875,1,0,0,0,7,19.42,FF,0,0,268225,19.205,13663.09375
0,16025.57813,1,0,0,0,7,74.86,FF,0,1,1000000,74.097,13663
0,16025.5,1,0,0,0,7,3.776,FF,0,0,48915,3.727,13684.54688
0,16025.51563,1,0,0,0,7,58.538,FF,0,0,782017,57.918,13662.96875
0,16025.9375,1,0,0,0,7,14.039,FF,0,0,192052,13.883,13663.29688
0,16025.90625,1,0,0,0,7,75.036,FF,0,1,1000000,74.289,13662.98438
0,16025.57813,1,0,0,0,7,28.773,FF,0,0,392066,28.468,13662.9375
0,16025.90625,1,0,0,0,7,74.84,FF,0,1,1000000,74.102,13663.23438
0,16025.8125,1,0,0,0,7,74.513,FF,0,1,1000000,73.758,13663.23438
0,16025.65625,1,0,0,0,7,37.78,FF,0,0,506311,37.363,13662.98438
0,16025.82813,1,0,0,0,7,5.999,FF,0,0,84515,5.923,13684.5625
0,16025.73438,1,0,0,0,7,59.847,FF,0,0,792011,59.252,13663.15625
0,16026.10938,1,0,0,0,7,36.66,FF,0,0,498410,36.264,13663.5
0,16025.54688,1,0,0,0,7,10.753,FF,0,0,148086,10.631,13662.96875
0,16025.71875,1,0,0,0,7,76.194,FF,0,1,1000000,75.424,13663.14063
0,16025.70313,1,0,0,0,7,17.665,FF,0,0,242009,17.478,13667.09375
0,16025.92188,1,0,0,0,7,5.945,FF,0,0,82031,5.873,13684.875
0,16025.67188,1,0,0,0,7,77.592,FF,0,1,1000000,76.803,13662.98438
0,16025.71875,1,0,0,0,7,12.351,FF,0,0,154041,12.213,13663.17188
0,16026.14063,1,0,0,0,7,12.931,FF,0,0,168135,12.785,13663.28125
,,,,,,,,,,,,,
,,,,,,,,,,82,411080.78,,
