nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,16025.67188,1,0,0,0,7,8.676,FF,0,0,118160,8.572,13684.71875
0,16025.85938,1,0,0,0,7,17.578,FF,0,0,236049,17.397,13663.25
0,16026.07813,1,0,0,0,7,3.293,FF,0,0,40010,3.247,13685.15625
0,16025.95313,1,0,0,0,7,9.059,FF,0,0,122303,8.957,13663.3125
0,16025.64063,1,0,0,0,7,10.153,FF,0,0,136038,10.037,13662.71875
0,16025.64063,1,0,0,0,7,12.156,FF,0,0,158151,12.009,13663
0,16025.64063,1,0,0,0,7,7.027,FF,0,0,96682,6.94,13684.6875
0,16025.67188,1,0,0,0,7,13.921,FF,0,0,192025,13.774,13663.03125
0,16025.79688,1,0,0,0,7,3.968,FF,0,0,54033,3.916,13684.75
0,16025.57813,1,0,0,0,7,8.31,FF,0,0,116050,8.212,13684.59375
0,16025.9375,1,0,0,0,7,77.408,FF,0,1,1000000,76.617,13663.29688
0,16026.23438,1,0,0,0,7,4.629,FF,0,0,58062,4.568,13685
0,16025.98438,1,0,0,0,7,33.222,FF,0,0,414081,32.881,13663.3125
0,16025.95313,1,0,0,0,7,10.956,FF,0,0,144050,10.833,13663.375
0,16025.625,1,0,0,0,7,61.061,FF,0,0,796010,60.435,13666.95313
0,16025.35938,1,0,0,0,7,19.771,FF,0,0,262044,19.566,13662.73438
0,16025.6875,1,0,0,0,7,45.301,FF,0,0,592014,44.838,13667.04688
0,16025.85938,1,0,0,0,7,15.324,FF,0,0,200039,15.159,13663.25
0,16025.9375,1,0,0,0,7,22.922,FF,0,0,298947,22.688,13663.10938
0,16025.96875,1,0,0,0,7,6.439,FF,0,0,86020,6.367,13684.98438
0,16025.875,1,0,0,0,7,18.933,FF,0,0,248300,18.722,13663.29688
0,16025.70313,1,0,0,0,7,13.342,FF,0,0,178033,13.197,13663.09375
0,16025.54688,1,0,0,0,7,12.653,FF,0,0,168531,12.512,13662.9375
0,16025.76563,1,0,0,0,7,12.448,FF,0,0,162130,12.302,13663.15625
0,16025.67188,1,0,0,0,7,47.009,FF,0,0,616172,46.513,13663.0625
0,16025.45313,1,0,0,0,7,37.829,FF,0,0,508010,37.442,13662.8125
0,16025.85938,1,0,0,0,7,13.937,FF,0,0,188059,13.779,13663.25
0,16025.65625,1,0,0,0,7,16.295,FF,0,0,222032,16.118,13663.01563
0,16025.46875,1,0,0,0,7,74.915,FF,0,1,1000000,74.159,13662.85938
0,16025.79688,1,0,0,0,7,3.512,FF,0,0,48390,3.466,13684.8125
0,16025.92188,1,0,0,0,7,11.47,FF,0,0,156319,11.338,13663.3125
0,16025.5,1,0,0,0,7,21.41,FF,0,0,294053,21.186,13666.79688
0,16025.4375,1,0,0,0,7,15.433,FF,0,0,204048,15.271,13662.85938
0,16026.04688,1,0,0,0,7,11.898,FF,0,0,166208,11.759,13663.46875
0,16025.78125,1,0,0,0,7,5.254,FF,0,0,74005,5.192,13684.73438
0,16025.8125,1,0,0,0,7,4.581,FF,0,0,62528,4.527,13684.79688
0,16025.60938,1,0,0,0,7,16.653,FF,0,0,228030,16.479,13667
0,16025.64063,1,0,0,0,7,38.385,FF,0,0,514009,38.012,13663
0,16025.6875,1,0,0,0,7,7.404,FF,0,0,104152,7.308,13684.70313
0,16025.92188,1,0,0,0,7,30.026,FF,0,0,414104,29.706,13663.34375
0,16025.64063,1,0,0,0,7,43.283,FF,0,0,576098,42.853,13663.01563
0,16025.875,1,0,0,0,7,16.394,FF,0,0,212048,16.221,13663.23438
0,16025.76563,1,0,0,0,7,36.325,FF,0,0,480021,35.956,13663.125
0,16025.57813,1,0,0,0,7,7.225,FF,0,0,97667,7.139,13684.59375
0,16025.95313,1,0,0,0,7,10.253,FF,0,0,140055,10.135,13663.34375
0,16025.70313,1,0,0,0,7,38.918,FF,0,0,530012,38.517,13663.09375
0,16025.875,1,0,0,0,7,5.76,FF,0,0,78397,5.693,13684.89063
0,16025.78125,1,0,0,0,7,63.584,FF,0,0,878035,62.959,13663.10938
0,16025.8125,1,0,0,0,7,76.096,FF,0,1,1000000,75.347,13663.26563
0,16025.51563,1,0,0,0,7,73.183,FF,0,0,952058,72.475,13662.875
,,,,,,,,,,,,,
,,,,,,,,,,94,312445.44,23.26592,
,,,,,,,,,,,,,
,,,,,,,,,,,40010,3.247,
,,,,,,,,,,,1000000,76.617,
,,,,,,,,,,,,,
,,,,,,,,,,,280601.4502,21.11729768,
