nprop,mpeak,randomized,threads,rrate,nchoice,size,wc,method,rc,found,nfail,cpu,mused
0,14230.0625,1,0,0,0,6,1.253,FF,0,0,16257,1.234,12080.04688
0,14230.10938,1,0,0,0,6,4.366,FF,0,0,60349,4.314,12080.07813
0,14230.03125,1,0,0,0,6,1.033,FF,0,0,13118,1.018,12080.21875
0,14229.57813,1,0,0,0,6,3.014,FF,0,0,42061,2.976,12079.70313
0,14229.95313,1,0,0,0,6,1.491,FF,0,0,20281,1.47,12080.07813
0,14229.6875,1,0,0,0,6,2.287,FF,0,0,31465,2.258,12079.82813
0,14230.03125,1,0,0,0,6,1.324,FF,0,0,17734,1.305,12080.25
0,14229.96875,1,0,0,0,6,10.46,FF,0,0,147943,10.338,12058.48438
0,14229.6875,1,0,0,0,6,1.993,FF,0,0,26985,1.965,12079.9375
0,14229.75,1,0,0,0,6,2.364,FF,0,0,31523,2.333,12079.84375
0,14230.20313,1,0,0,0,6,10.725,FF,0,0,149991,10.607,12058.5
0,14230.23438,1,0,0,0,6,70.365,FF,0,0,975109,69.658,12058.45313
0,14229.60938,1,0,0,0,6,63.858,FF,0,0,907929,63.213,12058.125
0,14229.9375,1,0,0,0,6,1.255,FF,0,0,16683,1.236,12079.84375
0,14230.07813,1,0,0,0,6,0.512,FF,0,0,5691,0.502,12080.20313
0,14230.03125,1,0,0,0,6,19.273,FF,0,0,273915,19.073,12058.21875
0,14230.15625,1,0,0,0,6,2.478,FF,0,0,33212,2.448,12080.0625
0,14229.78125,1,0,0,0,6,9.897,FF,0,0,143783,9.783,12079.9375
0,14230.14063,1,0,0,0,6,8.292,FF,0,0,118404,8.198,12080.28125
0,14229.9375,1,0,0,0,6,21.825,FF,0,0,296525,21.6,12058.23438
0,14229.54688,1,0,0,0,6,1.231,FF,0,0,16119,1.213,12079.70313
0,14230.21875,1,0,0,0,6,10.057,FF,0,0,132638,9.943,12058.5
0,14230,1,0,0,0,6,11.56,FF,0,0,154191,11.433,12058.5625
0,14229.9375,1,0,0,0,6,13.26,FF,0,0,181250,13.119,12058.4375
0,14229.95313,1,0,0,0,6,15.681,FF,0,0,220682,15.517,12058.42188
0,14229.875,1,0,0,0,6,1.542,FF,0,0,20194,1.52,12079.78125
0,14230.03125,1,0,0,0,6,9.476,FF,0,0,136780,9.365,12058.3125
0,14229.9375,1,0,0,0,6,0.652,FF,0,0,8037,0.64,12080.17188
0,14229.84375,1,0,0,0,6,0.771,FF,0,0,9699,0.758,12080.09375
0,14229.79688,1,0,0,0,6,8.582,FF,0,0,124568,8.482,12079.96875
0,14230.10938,1,0,0,0,6,7.518,FF,0,0,107043,7.432,12079.98438
0,14229.92188,1,0,0,0,6,32.174,FF,0,0,461012,31.843,12058.1875
0,14229.625,1,0,0,0,6,8.953,FF,0,0,124373,8.852,12058.17188
0,14230.0625,1,0,0,0,6,2.485,FF,0,0,33462,2.452,12079.96875
0,14229.625,1,0,0,0,6,4.397,FF,0,0,59368,4.347,12079.8125
0,14229.92188,1,0,0,0,6,13.931,FF,0,0,198772,13.782,12058.48438
0,14230.03125,1,0,0,0,6,5.426,FF,0,0,77663,5.361,12079.96875
0,14229.92188,1,0,0,0,6,1.334,FF,0,0,17270,1.315,12080.09375
0,14229.92188,1,0,0,0,6,1.577,FF,0,0,21570,1.554,12079.875
0,14230.03125,1,0,0,0,6,1.108,FF,0,0,14445,1.091,12080.125
0,14230.34375,1,0,0,0,6,2.473,FF,0,0,32787,2.44,12080.25
0,14229.70313,1,0,0,0,6,2.008,FF,0,0,26447,1.982,12079.875
0,14229.79688,1,0,0,0,6,2.749,FF,0,0,36945,2.716,12079.9375
0,14230.10938,1,0,0,0,6,11.654,FF,0,0,162433,11.528,12058.48438
0,14229.92188,1,0,0,0,6,6.101,FF,0,0,84042,6.033,12080.01563
0,14230.125,1,0,0,0,6,1.307,FF,0,0,17665,1.288,12080.10938
0,14229.92188,1,0,0,0,6,7.928,FF,0,0,111392,7.838,12080.07813
0,14229.875,1,0,0,0,6,4.019,FF,0,0,55519,3.969,12080
0,14230.01563,1,0,0,0,6,0.614,FF,0,0,7289,0.602,12080.28125
0,14230.15625,1,0,0,0,6,2.137,FF,0,0,28638,2.108,12080.0625
,,,,,,,,,,,,,
,,,,,,,,,,,120225.02,8.52104,
